"Notes"	"States"	"States Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"California"	"06"	"< 1 year"	"1"	"2021"	"2021"	411583
	"California"	"06"	"< 1 year"	"1"	"2022"	"2022"	425149
	"California"	"06"	"1-4 years"	"1-4"	"2021"	"2021"	1770731
	"California"	"06"	"1-4 years"	"1-4"	"2022"	"2022"	1702615
	"California"	"06"	"5-9 years"	"5-9"	"2021"	"2021"	2399078
	"California"	"06"	"5-9 years"	"5-9"	"2022"	"2022"	2358168
	"California"	"06"	"10-14 years"	"10-14"	"2021"	"2021"	2535851
	"California"	"06"	"10-14 years"	"10-14"	"2022"	"2022"	2476125
	"California"	"06"	"15-19 years"	"15-19"	"2021"	"2021"	2516922
	"California"	"06"	"15-19 years"	"15-19"	"2022"	"2022"	2564615
	"California"	"06"	"20-24 years"	"20-24"	"2021"	"2021"	2632403
	"California"	"06"	"20-24 years"	"20-24"	"2022"	"2022"	2651334
	"California"	"06"	"25-29 years"	"25-29"	"2021"	"2021"	2829116
	"California"	"06"	"25-29 years"	"25-29"	"2022"	"2022"	2757767
	"California"	"06"	"30-34 years"	"30-34"	"2021"	"2021"	2990687
	"California"	"06"	"30-34 years"	"30-34"	"2022"	"2022"	2989584
	"California"	"06"	"35-39 years"	"35-39"	"2021"	"2021"	2800461
	"California"	"06"	"35-39 years"	"35-39"	"2022"	"2022"	2783889
	"California"	"06"	"40-44 years"	"40-44"	"2021"	"2021"	2580907
	"California"	"06"	"40-44 years"	"40-44"	"2022"	"2022"	2606759
	"California"	"06"	"45-49 years"	"45-49"	"2021"	"2021"	2426526
	"California"	"06"	"45-49 years"	"45-49"	"2022"	"2022"	2398337
	"California"	"06"	"50-54 years"	"50-54"	"2021"	"2021"	2492115
	"California"	"06"	"50-54 years"	"50-54"	"2022"	"2022"	2471944
	"California"	"06"	"55-59 years"	"55-59"	"2021"	"2021"	2444354
	"California"	"06"	"55-59 years"	"55-59"	"2022"	"2022"	2385680
	"California"	"06"	"60-64 years "	"60-64"	"2021"	"2021"	2307189
	"California"	"06"	"60-64 years "	"60-64"	"2022"	"2022"	2301629
	"California"	"06"	"65-69 years"	"65-69"	"2021"	"2021"	1944694
	"California"	"06"	"65-69 years"	"65-69"	"2022"	"2022"	1974129
	"California"	"06"	"70-74 years"	"70-74"	"2021"	"2021"	1589015
	"California"	"06"	"70-74 years"	"70-74"	"2022"	"2022"	1586759
	"California"	"06"	"75-79 years"	"75-79"	"2021"	"2021"	1048993
	"California"	"06"	"75-79 years"	"75-79"	"2022"	"2022"	1140952
	"California"	"06"	"80-84 years"	"80-84"	"2021"	"2021"	690670
	"California"	"06"	"80-84 years"	"80-84"	"2022"	"2022"	714480
	"California"	"06"	"85+ years"	"85+"	"2021"	"2021"	731696
	"California"	"06"	"85+ years"	"85+"	"2022"	"2022"	739427
	"Colorado"	"08"	"< 1 year"	"1"	"2021"	"2021"	61833
	"Colorado"	"08"	"< 1 year"	"1"	"2022"	"2022"	62867
	"Colorado"	"08"	"1-4 years"	"1-4"	"2021"	"2021"	250295
	"Colorado"	"08"	"1-4 years"	"1-4"	"2022"	"2022"	246153
	"Colorado"	"08"	"5-9 years"	"5-9"	"2021"	"2021"	335910
	"Colorado"	"08"	"5-9 years"	"5-9"	"2022"	"2022"	332093
	"Colorado"	"08"	"10-14 years"	"10-14"	"2021"	"2021"	362318
	"Colorado"	"08"	"10-14 years"	"10-14"	"2022"	"2022"	353020
	"Colorado"	"08"	"15-19 years"	"15-19"	"2021"	"2021"	372795
	"Colorado"	"08"	"15-19 years"	"15-19"	"2022"	"2022"	373129
	"Colorado"	"08"	"20-24 years"	"20-24"	"2021"	"2021"	395835
	"Colorado"	"08"	"20-24 years"	"20-24"	"2022"	"2022"	402370
	"Colorado"	"08"	"25-29 years"	"25-29"	"2021"	"2021"	443443
	"Colorado"	"08"	"25-29 years"	"25-29"	"2022"	"2022"	444634
	"Colorado"	"08"	"30-34 years"	"30-34"	"2021"	"2021"	462105
	"Colorado"	"08"	"30-34 years"	"30-34"	"2022"	"2022"	470847
	"Colorado"	"08"	"35-39 years"	"35-39"	"2021"	"2021"	439830
	"Colorado"	"08"	"35-39 years"	"35-39"	"2022"	"2022"	443101
	"Colorado"	"08"	"40-44 years"	"40-44"	"2021"	"2021"	395441
	"Colorado"	"08"	"40-44 years"	"40-44"	"2022"	"2022"	404667
	"Colorado"	"08"	"45-49 years"	"45-49"	"2021"	"2021"	354518
	"Colorado"	"08"	"45-49 years"	"45-49"	"2022"	"2022"	353233
	"Colorado"	"08"	"50-54 years"	"50-54"	"2021"	"2021"	353531
	"Colorado"	"08"	"50-54 years"	"50-54"	"2022"	"2022"	355918
	"Colorado"	"08"	"55-59 years"	"55-59"	"2021"	"2021"	346952
	"Colorado"	"08"	"55-59 years"	"55-59"	"2022"	"2022"	335255
	"Colorado"	"08"	"60-64 years "	"60-64"	"2021"	"2021"	350726
	"Colorado"	"08"	"60-64 years "	"60-64"	"2022"	"2022"	348601
	"Colorado"	"08"	"65-69 years"	"65-69"	"2021"	"2021"	306169
	"Colorado"	"08"	"65-69 years"	"65-69"	"2022"	"2022"	310101
	"Colorado"	"08"	"70-74 years"	"70-74"	"2021"	"2021"	248517
	"Colorado"	"08"	"70-74 years"	"70-74"	"2022"	"2022"	249938
	"Colorado"	"08"	"75-79 years"	"75-79"	"2021"	"2021"	150275
	"Colorado"	"08"	"75-79 years"	"75-79"	"2022"	"2022"	168228
	"Colorado"	"08"	"80-84 years"	"80-84"	"2021"	"2021"	91868
	"Colorado"	"08"	"80-84 years"	"80-84"	"2022"	"2022"	96244
	"Colorado"	"08"	"85+ years"	"85+"	"2021"	"2021"	88936
	"Colorado"	"08"	"85+ years"	"85+"	"2022"	"2022"	89527
	"Connecticut"	"09"	"< 1 year"	"1"	"2021"	"2021"	33830
	"Connecticut"	"09"	"< 1 year"	"1"	"2022"	"2022"	35870
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2021"	"2021"	146868
	"Connecticut"	"09"	"1-4 years"	"1-4"	"2022"	"2022"	145737
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2021"	"2021"	196331
	"Connecticut"	"09"	"5-9 years"	"5-9"	"2022"	"2022"	196337
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2021"	"2021"	218383
	"Connecticut"	"09"	"10-14 years"	"10-14"	"2022"	"2022"	213461
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2021"	"2021"	249254
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2022"	"2022"	247002
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2021"	"2021"	245583
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2022"	"2022"	243660
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2021"	"2021"	225985
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2022"	"2022"	223861
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2021"	"2021"	227500
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2022"	"2022"	229622
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2021"	"2021"	231752
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2022"	"2022"	234440
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2021"	"2021"	220639
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2022"	"2022"	225454
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2021"	"2021"	212742
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2022"	"2022"	209983
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2021"	"2021"	248024
	"Connecticut"	"09"	"50-54 years"	"50-54"	"2022"	"2022"	241724
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2021"	"2021"	266730
	"Connecticut"	"09"	"55-59 years"	"55-59"	"2022"	"2022"	260155
